dt_abertura,dt_aprovacao,dt_resolucao,dt_fechamento,cod_problema,id_solicitante,id_departamento,id_diretoria
2020-01-11 02:17:29,2020-01-11 12:17:29,2020-02-28 12:17:29,2020-02-28 22:17:29,14,661,56,4
2020-09-05 00:31:51,2020-09-05 01:31:51,2020-11-25 01:31:51,2020-11-25 02:31:51,3,371,41,7
2021-10-18 12:12:25,2021-10-19 06:12:25,2021-12-17 06:12:25,2021-12-18 00:12:25,25,397,55,5
2021-06-12 13:27:32,2021-06-13 20:27:32,2021-06-15 20:27:32,2021-06-17 03:27:32,45,1560,45,7
2021-03-07 15:47:41,2021-03-08 16:47:41,2021-04-27 16:47:41,2021-04-28 17:47:41,3,404,45,7
2020-08-29 12:41:46,2020-08-29 17:41:46,2020-10-05 17:41:46,2020-10-05 22:41:46,14,609,55,7
2020-11-30 11:28:44,2020-12-01 16:28:44,2021-01-19 16:28:44,2021-01-20 21:28:44,52,1405,48,7
2021-06-06 21:09:16,2021-06-07 04:09:16,2021-08-27 04:09:16,2021-08-27 11:09:16,45,1010,56,4
2020-06-07 18:40:32,2020-06-08 07:40:32,2020-08-31 07:40:32,2020-08-31 20:40:32,3,1916,45,2
2020-05-24 01:48:57,2020-05-24 05:48:57,2020-07-08 05:48:57,2020-07-08 09:48:57,78,824,45,6
2021-08-13 04:43:00,2021-08-14 13:43:00,2021-11-12 13:43:00,2021-11-13 22:43:00,25,1996,48,4
2020-05-30 05:50:53,2020-05-31 13:50:53,2020-08-13 13:50:53,2020-08-14 21:50:53,3,1323,56,4
2021-07-11 15:43:17,2021-07-12 23:43:17,2021-07-23 23:43:17,2021-07-25 07:43:17,3,1091,56,11
2021-06-18 07:35:56,2021-06-19 22:35:56,2021-06-29 22:35:56,2021-07-01 13:35:56,25,1823,45,9
2021-02-14 22:03:10,2021-02-16 13:03:10,2021-04-25 13:03:10,2021-04-27 04:03:10,14,1619,56,9
2020-03-08 11:57:00,2020-03-09 01:57:00,2020-04-18 01:57:00,2020-04-18 15:57:00,78,1021,55,9
2021-12-14 16:36:04,2021-12-16 10:36:04,2022-01-18 10:36:04,2022-01-20 04:36:04,14,764,41,5
2022-04-13 00:01:57,2022-04-13 15:01:57,2022-07-11 15:01:57,2022-07-12 06:01:57,3,1302,49,7
2020-07-12 21:51:24,2020-07-13 01:51:24,2020-10-06 01:51:24,2020-10-06 05:51:24,78,1093,45,7
2021-08-11 00:47:05,2021-08-11 11:47:05,2021-08-16 11:47:05,2021-08-16 22:47:05,45,1214,47,2
2020-05-02 09:53:04,2020-05-03 18:53:04,2020-05-15 18:53:04,2020-05-17 03:53:04,45,1033,56,6
2022-05-07 13:34:00,2022-05-08 07:34:00,2022-06-06 07:34:00,2022-06-07 01:34:00,7,516,41,6
2021-03-31 10:28:43,2021-04-01 02:28:43,2021-04-29 02:28:43,2021-04-29 18:28:43,7,604,47,7
2021-07-15 18:43:52,2021-07-16 19:43:52,2021-08-11 19:43:52,2021-08-12 20:43:52,14,1437,48,4
2020-10-25 17:02:18,2020-10-27 11:02:18,2021-01-23 11:02:18,2021-01-25 05:02:18,78,1045,49,9
2020-04-18 01:12:15,2020-04-18 09:12:15,2020-07-15 09:12:15,2020-07-15 17:12:15,78,1727,41,11
2020-03-12 04:27:25,2020-03-13 05:27:25,2020-04-15 05:27:25,2020-04-16 06:27:25,7,1262,48,5
2020-12-20 00:39:49,2020-12-20 10:39:49,2021-01-17 10:39:49,2021-01-17 20:39:49,14,966,55,5
2021-03-25 13:09:55,2021-03-26 20:09:55,2021-04-13 20:09:55,2021-04-15 03:09:55,14,1873,55,7
2020-05-03 22:51:38,2020-05-05 11:51:38,2020-07-05 11:51:38,2020-07-07 00:51:38,52,1783,55,11
2020-12-27 15:04:24,2020-12-28 02:04:24,2021-03-16 02:04:24,2021-03-16 13:04:24,78,783,45,2
2020-06-05 21:36:23,2020-06-07 16:36:23,2020-08-17 16:36:23,2020-08-19 11:36:23,7,1685,48,5
2021-08-13 12:07:59,2021-08-13 14:07:59,2021-09-29 14:07:59,2021-09-29 16:07:59,52,1455,48,2
2021-03-07 19:36:26,2021-03-09 00:36:26,2021-05-23 00:36:26,2021-05-24 05:36:26,78,849,41,5
2021-12-05 08:21:41,2021-12-06 12:21:41,2022-02-06 12:21:41,2022-02-07 16:21:41,45,297,41,5
2021-07-20 17:55:47,2021-07-21 17:55:47,2021-07-23 17:55:47,2021-07-24 17:55:47,45,1681,41,11
2020-09-09 16:11:04,2020-09-11 09:11:04,2020-12-10 09:11:04,2020-12-12 02:11:04,3,1486,56,5
2021-07-29 01:20:49,2021-07-30 20:20:49,2021-10-25 20:20:49,2021-10-27 15:20:49,14,511,55,5
2021-07-05 21:27:07,2021-07-06 21:27:07,2021-09-13 21:27:07,2021-09-14 21:27:07,52,689,48,9
2020-11-21 10:59:18,2020-11-21 15:59:18,2020-11-30 15:59:18,2020-11-30 20:59:18,52,118,48,11
2021-02-18 17:39:17,2021-02-19 09:39:17,2021-04-26 09:39:17,2021-04-27 01:39:17,52,1045,45,9
2020-04-20 22:04:43,2020-04-22 06:04:43,2020-05-02 06:04:43,2020-05-03 14:04:43,25,1189,55,5
2020-09-22 20:30:41,2020-09-23 17:30:41,2020-10-07 17:30:41,2020-10-08 14:30:41,7,1603,45,4
2022-04-09 18:10:41,2022-04-11 08:10:41,2022-05-07 08:10:41,2022-05-08 22:10:41,3,884,55,6
2021-01-15 07:12:47,2021-01-15 13:12:47,2021-01-22 13:12:47,2021-01-22 19:12:47,52,885,56,4
2020-09-10 20:05:12,2020-09-12 08:05:12,2020-11-10 08:05:12,2020-11-11 20:05:12,45,1815,55,6
2021-12-19 02:18:36,2021-12-19 11:18:36,2022-03-13 11:18:36,2022-03-13 20:18:36,52,334,49,5
2021-08-12 11:07:28,2021-08-13 05:07:28,2021-10-04 05:07:28,2021-10-04 23:07:28,52,457,56,7
2021-02-23 08:23:04,2021-02-23 20:23:04,2021-02-26 20:23:04,2021-02-27 08:23:04,3,301,55,5
2022-05-15 04:35:30,2022-05-16 12:35:30,2022-06-23 12:35:30,2022-06-24 20:35:30,7,1033,41,11
2020-12-07 03:50:50,2020-12-08 22:50:50,2021-02-12 22:50:50,2021-02-14 17:50:50,3,851,55,7
2021-05-18 18:08:12,2021-05-18 21:08:12,2021-07-15 21:08:12,2021-07-16 00:08:12,78,516,56,4
2020-03-27 21:31:05,2020-03-28 09:31:05,2020-04-27 09:31:05,2020-04-27 21:31:05,25,327,45,5
2020-12-21 19:31:52,2020-12-23 16:31:52,2021-01-22 16:31:52,2021-01-24 13:31:52,3,1883,55,11
2020-02-19 20:47:02,2020-02-20 20:47:02,2020-04-15 20:47:02,2020-04-16 20:47:02,7,1302,55,6
2021-05-05 00:56:32,2021-05-05 08:56:32,2021-06-03 08:56:32,2021-06-03 16:56:32,52,354,49,11
2021-09-15 04:30:27,2021-09-16 18:30:27,2021-12-10 18:30:27,2021-12-12 08:30:27,25,709,55,11
2021-02-19 22:06:13,2021-02-20 21:06:13,2021-05-17 21:06:13,2021-05-18 20:06:13,14,1201,48,11
2020-04-12 19:41:25,2020-04-13 09:41:25,2020-07-10 09:41:25,2020-07-10 23:41:25,14,779,45,2
2020-11-23 18:00:38,2020-11-24 20:00:38,2021-01-13 20:00:38,2021-01-14 22:00:38,52,770,48,6
2022-05-31 02:00:18,2022-05-31 07:00:18,2022-08-16 07:00:18,2022-08-16 12:00:18,3,1635,41,5
2021-05-03 20:02:31,2021-05-05 10:02:31,2021-07-30 10:02:31,2021-08-01 00:02:31,52,1901,55,9
2020-11-26 07:17:32,2020-11-26 11:17:32,2021-02-22 11:17:32,2021-02-22 15:17:32,52,605,45,11
2022-02-14 12:41:26,2022-02-15 05:41:26,2022-03-31 05:41:26,2022-03-31 22:41:26,78,1602,48,11
2021-09-06 14:13:35,2021-09-08 07:13:35,2021-11-14 07:13:35,2021-11-16 00:13:35,52,543,49,2
2021-12-13 19:14:14,2021-12-14 08:14:14,2022-02-16 08:14:14,2022-02-16 21:14:14,7,885,49,4
2020-08-09 22:38:21,2020-08-11 01:38:21,2020-09-18 01:38:21,2020-09-19 04:38:21,14,1063,48,7
2021-02-15 11:26:55,2021-02-15 12:26:55,2021-04-23 12:26:55,2021-04-23 13:26:55,78,1903,56,2
2020-08-04 21:47:45,2020-08-04 23:47:45,2020-08-06 23:47:45,2020-08-07 01:47:45,52,1932,41,5
2021-01-18 02:56:24,2021-01-20 00:56:24,2021-03-20 00:56:24,2021-03-21 22:56:24,7,258,56,9
2022-05-22 01:19:16,2022-05-22 18:19:16,2022-07-15 18:19:16,2022-07-16 11:19:16,3,1996,48,4
2022-04-17 06:31:48,2022-04-18 17:31:48,2022-06-05 17:31:48,2022-06-07 04:31:48,7,983,49,2
2021-02-12 03:43:02,2021-02-13 07:43:02,2021-02-22 07:43:02,2021-02-23 11:43:02,52,243,56,7
2021-10-27 13:10:15,2021-10-28 05:10:15,2022-01-10 05:10:15,2022-01-10 21:10:15,7,1423,49,5
2021-09-12 10:43:49,2021-09-13 12:43:49,2021-11-16 12:43:49,2021-11-17 14:43:49,52,1735,48,6
2021-07-16 08:12:21,2021-07-17 09:12:21,2021-07-28 09:12:21,2021-07-29 10:12:21,45,1157,49,11
2020-12-06 16:52:14,2020-12-08 00:52:14,2021-01-03 00:52:14,2021-01-04 08:52:14,45,1326,45,5
2020-08-02 21:22:53,2020-08-04 15:22:53,2020-09-29 15:22:53,2020-10-01 09:22:53,78,1992,41,7
2022-03-02 12:31:02,2022-03-03 02:31:02,2022-04-12 02:31:02,2022-04-12 16:31:02,52,898,56,5
2022-02-05 15:36:15,2022-02-06 09:36:15,2022-03-13 09:36:15,2022-03-14 03:36:15,45,1246,56,2
2020-05-21 05:20:55,2020-05-21 08:20:55,2020-07-05 08:20:55,2020-07-05 11:20:55,25,410,55,2
2020-03-14 04:37:33,2020-03-15 12:37:33,2020-04-05 12:37:33,2020-04-06 20:37:33,52,1215,49,5
2020-06-19 08:00:58,2020-06-19 14:00:58,2020-08-13 14:00:58,2020-08-13 20:00:58,3,1423,45,11
2020-08-25 10:20:15,2020-08-26 14:20:15,2020-10-08 14:20:15,2020-10-09 18:20:15,7,797,55,7
2020-09-05 12:33:41,2020-09-05 15:33:41,2020-09-23 15:33:41,2020-09-23 18:33:41,3,1638,41,11
2021-10-17 19:15:52,2021-10-18 14:15:52,2021-11-04 14:15:52,2021-11-05 09:15:52,3,1849,47,7
2020-04-08 16:29:05,2020-04-10 11:29:05,2020-06-26 11:29:05,2020-06-28 06:29:05,7,434,56,11
2021-08-20 17:09:55,2021-08-22 05:09:55,2021-11-06 05:09:55,2021-11-07 17:09:55,45,1530,45,6
2021-08-15 19:47:54,2021-08-16 13:47:54,2021-09-10 13:47:54,2021-09-11 07:47:54,78,1323,47,4
2021-12-28 02:09:53,2021-12-29 05:09:53,2022-01-04 05:09:53,2022-01-05 08:09:53,78,1026,47,9
2022-04-01 22:48:46,2022-04-03 03:48:46,2022-06-01 03:48:46,2022-06-02 08:48:46,78,1103,41,2
2021-01-25 13:23:52,2021-01-26 03:23:52,2021-03-12 03:23:52,2021-03-12 17:23:52,25,1713,47,2
2022-05-09 09:45:23,2022-05-11 01:45:23,2022-06-14 01:45:23,2022-06-15 17:45:23,3,1570,49,6
2020-01-18 20:02:37,2020-01-20 08:02:37,2020-04-08 08:02:37,2020-04-09 20:02:37,7,509,47,6
2020-06-26 22:47:55,2020-06-27 08:47:55,2020-08-11 08:47:55,2020-08-11 18:47:55,7,1266,48,5
2022-04-14 03:42:18,2022-04-14 23:42:18,2022-06-27 23:42:18,2022-06-28 19:42:18,52,1334,56,4
2021-02-18 11:57:51,2021-02-18 15:57:51,2021-03-11 15:57:51,2021-03-11 19:57:51,14,854,49,9
2021-06-12 10:39:40,2021-06-14 05:39:40,2021-06-18 05:39:40,2021-06-20 00:39:40,78,492,49,9
2020-06-22 06:58:00,2020-06-23 07:58:00,2020-06-26 07:58:00,2020-06-27 08:58:00,45,439,47,4
2021-03-31 22:28:41,2021-04-01 10:28:41,2021-06-06 10:28:41,2021-06-06 22:28:41,7,1326,48,11
2021-11-06 09:13:25,2021-11-07 21:13:25,2021-11-26 21:13:25,2021-11-28 09:13:25,7,1919,47,5
2020-09-02 16:32:55,2020-09-04 02:32:55,2020-11-02 02:32:55,2020-11-03 12:32:55,52,705,48,7
2021-12-05 20:02:46,2021-12-05 22:02:46,2022-02-10 22:02:46,2022-02-11 00:02:46,78,430,45,7
2020-01-06 00:59:39,2020-01-07 21:59:39,2020-03-06 21:59:39,2020-03-08 18:59:39,7,1932,47,11
2021-02-13 03:51:20,2021-02-13 20:51:20,2021-03-16 20:51:20,2021-03-17 13:51:20,25,281,41,6
2022-02-16 15:12:11,2022-02-16 18:12:11,2022-03-12 18:12:11,2022-03-12 21:12:11,7,1883,48,7
2020-10-04 12:37:30,2020-10-05 20:37:30,2020-10-22 20:37:30,2020-10-24 04:37:30,52,621,48,2
2022-02-27 15:44:41,2022-02-27 22:44:41,2022-05-12 22:44:41,2022-05-13 05:44:41,52,463,47,11
2020-06-14 07:16:59,2020-06-15 02:16:59,2020-06-30 02:16:59,2020-06-30 21:16:59,7,1904,45,4
2021-04-08 14:49:42,2021-04-09 18:49:42,2021-04-30 18:49:42,2021-05-01 22:49:42,14,1682,45,9
2022-02-27 15:02:39,2022-03-01 03:02:39,2022-03-27 03:02:39,2022-03-28 15:02:39,25,1097,41,4
2020-11-04 23:56:37,2020-11-06 00:56:37,2020-11-25 00:56:37,2020-11-26 01:56:37,14,1845,48,11
2020-08-25 10:15:40,2020-08-25 23:15:40,2020-09-05 23:15:40,2020-09-06 12:15:40,3,492,56,11
2021-08-03 20:31:08,2021-08-05 05:31:08,2021-09-25 05:31:08,2021-09-26 14:31:08,7,1621,55,5
2020-09-07 22:59:05,2020-09-09 16:59:05,2020-10-24 16:59:05,2020-10-26 10:59:05,78,1453,45,9
2022-04-17 21:30:28,2022-04-18 16:30:28,2022-05-19 16:30:28,2022-05-20 11:30:28,3,1093,49,7
2022-04-03 21:01:05,2022-04-04 09:01:05,2022-06-22 09:01:05,2022-06-22 21:01:05,52,1110,56,2
2020-01-01 21:19:19,2020-01-01 23:19:19,2020-03-09 23:19:19,2020-03-10 01:19:19,14,1980,47,5
2021-05-18 13:24:50,2021-05-19 14:24:50,2021-07-12 14:24:50,2021-07-13 15:24:50,52,508,48,6
2022-01-29 00:32:29,2022-01-30 14:32:29,2022-03-30 14:32:29,2022-04-01 04:32:29,25,1685,45,11
2020-01-31 06:08:45,2020-01-31 22:08:45,2020-02-02 22:08:45,2020-02-03 14:08:45,78,219,55,4
2020-06-22 18:43:52,2020-06-24 05:43:52,2020-07-18 05:43:52,2020-07-19 16:43:52,7,886,55,6
2021-07-17 20:54:14,2021-07-18 04:54:14,2021-08-31 04:54:14,2021-08-31 12:54:14,45,487,56,4
2021-04-22 16:57:28,2021-04-23 14:57:28,2021-07-04 14:57:28,2021-07-05 12:57:28,78,269,56,11
2021-01-06 23:25:46,2021-01-08 06:25:46,2021-03-13 06:25:46,2021-03-14 13:25:46,7,1947,49,6
2020-03-30 23:36:25,2020-04-01 14:36:25,2020-06-06 14:36:25,2020-06-08 05:36:25,45,1395,49,7
2021-01-09 04:20:38,2021-01-10 04:20:38,2021-01-27 04:20:38,2021-01-28 04:20:38,7,1297,48,4
2022-05-31 08:36:00,2022-06-01 18:36:00,2022-08-12 18:36:00,2022-08-14 04:36:00,25,111,55,2
2020-05-02 08:16:33,2020-05-03 13:16:33,2020-06-03 13:16:33,2020-06-04 18:16:33,3,1964,47,9
2020-05-13 01:23:32,2020-05-13 22:23:32,2020-07-21 22:23:32,2020-07-22 19:23:32,14,1228,56,2
2022-01-24 23:02:16,2022-01-25 23:02:16,2022-03-04 23:02:16,2022-03-05 23:02:16,45,1093,41,5
2020-04-17 12:25:47,2020-04-18 00:25:47,2020-07-04 00:25:47,2020-07-04 12:25:47,25,1165,48,11
2022-04-07 12:43:32,2022-04-07 13:43:32,2022-06-07 13:43:32,2022-06-07 14:43:32,7,579,45,5
2020-07-14 08:41:31,2020-07-14 15:41:31,2020-09-27 15:41:31,2020-09-27 22:41:31,7,401,41,5
2020-07-18 10:46:51,2020-07-19 21:46:51,2020-08-29 21:46:51,2020-08-31 08:46:51,25,1196,55,7
2022-01-08 07:48:41,2022-01-09 16:48:41,2022-04-02 16:48:41,2022-04-04 01:48:41,52,579,48,2
2022-05-04 02:09:50,2022-05-05 17:09:50,2022-06-14 17:09:50,2022-06-16 08:09:50,14,449,55,5
2020-09-13 12:22:46,2020-09-13 14:22:46,2020-11-08 14:22:46,2020-11-08 16:22:46,14,951,49,4
2021-02-15 18:01:39,2021-02-17 12:01:39,2021-05-04 12:01:39,2021-05-06 06:01:39,7,1879,55,11
2022-03-30 17:06:17,2022-03-31 13:06:17,2022-04-03 13:06:17,2022-04-04 09:06:17,14,1727,48,4
2021-10-19 07:43:33,2021-10-19 18:43:33,2022-01-06 18:43:33,2022-01-07 05:43:33,45,104,47,9
2020-11-25 00:24:34,2020-11-25 09:24:34,2021-01-29 09:24:34,2021-01-29 18:24:34,3,463,41,5
2022-04-17 18:24:56,2022-04-18 20:24:56,2022-06-04 20:24:56,2022-06-05 22:24:56,45,1179,41,9
2020-11-08 11:27:19,2020-11-08 23:27:19,2020-12-24 23:27:19,2020-12-25 11:27:19,7,439,48,9
2021-04-29 05:37:33,2021-04-30 02:37:33,2021-06-25 02:37:33,2021-06-25 23:37:33,78,1563,48,2
2021-09-11 19:30:40,2021-09-12 20:30:40,2021-10-22 20:30:40,2021-10-23 21:30:40,52,1731,49,2
2021-08-03 02:07:32,2021-08-04 09:07:32,2021-09-26 09:07:32,2021-09-27 16:07:32,45,1517,41,5
2021-11-11 13:33:18,2021-11-13 01:33:18,2021-12-16 01:33:18,2021-12-17 13:33:18,45,1167,48,9
2022-03-15 00:37:34,2022-03-16 13:37:34,2022-05-22 13:37:34,2022-05-24 02:37:34,14,695,55,7
2021-12-02 08:37:25,2021-12-03 13:37:25,2022-02-11 13:37:25,2022-02-12 18:37:25,45,873,45,2
2020-07-06 23:21:49,2020-07-08 13:21:49,2020-08-11 13:21:49,2020-08-13 03:21:49,45,516,48,6
2021-01-20 02:35:29,2021-01-21 07:35:29,2021-02-14 07:35:29,2021-02-15 12:35:29,7,794,47,9
2020-12-15 01:19:27,2020-12-15 04:19:27,2021-02-15 04:19:27,2021-02-15 07:19:27,14,1677,45,5
2020-04-09 11:03:31,2020-04-10 19:03:31,2020-05-03 19:03:31,2020-05-05 03:03:31,7,1272,41,11
2021-06-09 04:44:37,2021-06-10 14:44:37,2021-07-08 14:44:37,2021-07-10 00:44:37,78,189,56,2
2020-02-02 16:12:51,2020-02-04 06:12:51,2020-03-25 06:12:51,2020-03-26 20:12:51,14,1441,41,5
2022-05-10 11:41:29,2022-05-12 00:41:29,2022-08-06 00:41:29,2022-08-07 13:41:29,25,1704,41,4
2020-12-23 11:17:57,2020-12-25 00:17:57,2020-12-27 00:17:57,2020-12-28 13:17:57,52,1214,49,6
2020-12-08 02:17:58,2020-12-08 20:17:58,2021-01-05 20:17:58,2021-01-06 14:17:58,25,1106,47,5
2020-01-12 04:05:39,2020-01-12 06:05:39,2020-02-27 06:05:39,2020-02-27 08:05:39,3,2000,49,4
2020-04-20 06:48:51,2020-04-20 14:48:51,2020-05-23 14:48:51,2020-05-23 22:48:51,3,316,55,7
2020-04-01 10:58:24,2020-04-03 00:58:24,2020-05-25 00:58:24,2020-05-26 14:58:24,45,1911,47,6
2020-12-21 15:34:07,2020-12-22 11:34:07,2021-01-01 11:34:07,2021-01-02 07:34:07,52,695,47,9
2020-04-14 16:51:59,2020-04-15 02:51:59,2020-05-01 02:51:59,2020-05-01 12:51:59,14,1323,45,11
2020-02-18 19:09:36,2020-02-20 19:09:36,2020-03-23 19:09:36,2020-03-25 19:09:36,14,1932,47,5
2021-05-28 07:16:02,2021-05-28 14:16:02,2021-06-08 14:16:02,2021-06-08 21:16:02,14,1307,56,7
2020-04-20 01:45:13,2020-04-20 15:45:13,2020-06-07 15:45:13,2020-06-08 05:45:13,52,517,48,11
2022-03-09 17:07:47,2022-03-10 05:07:47,2022-04-05 05:07:47,2022-04-05 17:07:47,45,588,56,4
2021-01-04 17:27:22,2021-01-05 19:27:22,2021-01-12 19:27:22,2021-01-13 21:27:22,52,1946,55,9
2021-03-08 14:23:06,2021-03-08 18:23:06,2021-04-19 18:23:06,2021-04-19 22:23:06,52,655,48,6
2022-01-24 01:33:52,2022-01-25 05:33:52,2022-04-12 05:33:52,2022-04-13 09:33:52,52,1118,48,2
2020-11-28 19:19:38,2020-11-29 12:19:38,2021-01-15 12:19:38,2021-01-16 05:19:38,45,1919,48,6
2022-04-17 16:05:54,2022-04-18 09:05:54,2022-05-19 09:05:54,2022-05-20 02:05:54,78,1635,45,2
2020-07-24 12:56:36,2020-07-24 14:56:36,2020-08-11 14:56:36,2020-08-11 16:56:36,3,1165,49,2
2022-06-06 02:01:47,2022-06-06 20:01:47,2022-06-19 20:01:47,2022-06-20 14:01:47,3,705,47,2
2022-06-14 02:43:39,2022-06-15 14:43:39,2022-07-30 14:43:39,2022-08-01 02:43:39,45,1884,45,5
2022-01-04 06:27:12,2022-01-04 15:27:12,2022-03-04 15:27:12,2022-03-05 00:27:12,14,602,47,2
2021-01-12 11:35:38,2021-01-12 16:35:38,2021-03-28 16:35:38,2021-03-28 21:35:38,7,430,55,4
2022-01-04 17:42:34,2022-01-05 01:42:34,2022-01-27 01:42:34,2022-01-27 09:42:34,25,509,49,2
2021-09-24 08:17:44,2021-09-24 15:17:44,2021-10-16 15:17:44,2021-10-16 22:17:44,14,461,45,2
2020-10-22 18:59:47,2020-10-24 06:59:47,2021-01-04 06:59:47,2021-01-05 18:59:47,78,430,49,7
2020-05-26 12:43:15,2020-05-26 16:43:15,2020-07-21 16:43:15,2020-07-21 20:43:15,45,413,41,5
2020-05-30 13:50:34,2020-05-31 10:50:34,2020-08-17 10:50:34,2020-08-18 07:50:34,52,856,48,6
2021-10-31 14:45:11,2021-11-01 18:45:11,2021-12-19 18:45:11,2021-12-20 22:45:11,7,1495,56,5
2021-07-04 09:10:15,2021-07-06 00:10:15,2021-09-25 00:10:15,2021-09-26 15:10:15,25,408,56,11
2021-10-20 00:09:21,2021-10-21 15:09:21,2021-11-30 15:09:21,2021-12-02 06:09:21,78,221,56,5
2021-09-30 15:00:14,2021-09-30 19:00:14,2021-10-04 19:00:14,2021-10-04 23:00:14,3,738,48,11
2021-12-26 11:56:30,2021-12-27 02:56:30,2022-01-23 02:56:30,2022-01-23 17:56:30,14,1507,48,11
2020-03-25 03:38:54,2020-03-25 23:38:54,2020-05-06 23:38:54,2020-05-07 19:38:54,3,1196,41,6
2020-06-01 21:17:04,2020-06-02 10:17:04,2020-08-04 10:17:04,2020-08-04 23:17:04,52,1586,56,9
2020-04-04 03:48:16,2020-04-05 00:48:16,2020-07-01 00:48:16,2020-07-01 21:48:16,45,716,49,4
2021-09-17 10:48:34,2021-09-18 17:48:34,2021-11-06 17:48:34,2021-11-08 00:48:34,3,957,56,2
2021-06-11 02:07:05,2021-06-13 00:07:05,2021-07-04 00:07:05,2021-07-05 22:07:05,78,164,55,11
2020-06-18 17:50:42,2020-06-19 13:50:42,2020-07-06 13:50:42,2020-07-07 09:50:42,3,789,47,7
2021-01-21 06:34:49,2021-01-22 13:34:49,2021-03-07 13:34:49,2021-03-08 20:34:49,3,1165,47,11
2020-10-24 14:59:45,2020-10-24 15:59:45,2020-12-28 15:59:45,2020-12-28 16:59:45,52,230,56,6
2020-10-22 11:30:08,2020-10-22 13:30:08,2020-12-10 13:30:08,2020-12-10 15:30:08,7,1507,41,11
2022-04-13 02:10:56,2022-04-14 11:10:56,2022-07-08 11:10:56,2022-07-09 20:10:56,14,1575,56,5
2021-11-27 21:31:32,2021-11-28 00:31:32,2022-01-10 00:31:32,2022-01-10 03:31:32,3,231,55,5
2020-08-05 18:22:30,2020-08-06 17:22:30,2020-09-23 17:22:30,2020-09-24 16:22:30,52,1941,48,2
2021-10-17 08:53:16,2021-10-18 13:53:16,2021-11-24 13:53:16,2021-11-25 18:53:16,14,242,48,4
2020-10-12 00:55:48,2020-10-12 11:55:48,2020-11-26 11:55:48,2020-11-26 22:55:48,3,951,47,6
2021-03-08 16:54:57,2021-03-09 09:54:57,2021-05-17 09:54:57,2021-05-18 02:54:57,78,192,47,4
2021-12-19 16:01:29,2021-12-20 03:01:29,2022-02-26 03:01:29,2022-02-26 14:01:29,45,334,41,5
2021-01-23 01:27:34,2021-01-24 06:27:34,2021-02-06 06:27:34,2021-02-07 11:27:34,45,1384,55,2
